x, a priori error bound, running error bound, forward error
    9.91530E-01,     4.87841E-27,     4.84187E-27,     2.82767E-27
    9.91540E-01,     4.84991E-27,     4.81429E-27,     1.99160E-27
    9.91550E-01,     4.82154E-27,     4.78450E-27,     1.02628E-27
    9.91560E-01,     4.79331E-27,     4.75718E-27,     6.19982E-28
    9.91570E-01,     4.76521E-27,     4.72896E-27,     2.35265E-27
    9.91580E-01,     4.73724E-27,     4.70066E-27,     1.15115E-27
    9.91590E-01,     4.70941E-27,     4.67323E-27,     3.12068E-27
    9.91600E-01,     4.68171E-27,     4.64465E-27,     2.03843E-27
    9.91610E-01,     4.65414E-27,     4.61723E-27,     2.91540E-27
    9.91620E-01,     4.62670E-27,     4.59049E-27,     1.88049E-27
    9.91630E-01,     4.59939E-27,     4.56325E-27,     2.16117E-27
    9.91640E-01,     4.57221E-27,     4.53638E-27,     3.65669E-28
    9.91650E-01,     4.54516E-27,     4.50889E-27,     2.79631E-27
    9.91660E-01,     4.51824E-27,     4.48123E-27,     7.12167E-28
    9.91670E-01,     4.49145E-27,     4.45567E-27,     3.21180E-27
    9.91680E-01,     4.46479E-27,     4.42842E-27,     3.04703E-27
    9.91690E-01,     4.43825E-27,     4.40230E-27,     5.46359E-28
    9.91700E-01,     4.41184E-27,     4.37639E-27,     1.38306E-27
    9.91710E-01,     4.38556E-27,     4.34885E-27,     1.45224E-27
    9.91720E-01,     4.35941E-27,     4.32318E-27,     1.46467E-27
    9.91730E-01,     4.33338E-27,     4.29767E-27,     2.88070E-28
    9.91740E-01,     4.30748E-27,     4.27018E-27,     2.55403E-27
    9.91750E-01,     4.28170E-27,     4.24560E-27,     2.16957E-27
    9.91760E-01,     4.25605E-27,     4.21846E-27,     1.75398E-27
    9.91770E-01,     4.23052E-27,     4.19316E-27,     2.09395E-27
    9.91780E-01,     4.20512E-27,     4.16992E-27,     1.54580E-27
    9.91790E-01,     4.17984E-27,     4.14383E-27,     2.22215E-27
    9.91800E-01,     4.15468E-27,     4.11860E-27,     1.96657E-27
    9.91810E-01,     4.12964E-27,     4.09255E-27,     1.78723E-27
    9.91820E-01,     4.10473E-27,     4.06767E-27,     1.08772E-27
    9.91830E-01,     4.07994E-27,     4.04387E-27,     2.91418E-27
    9.91840E-01,     4.05527E-27,     4.01810E-27,     2.84300E-27
    9.91850E-01,     4.03072E-27,     3.99292E-27,     1.13391E-27
    9.91860E-01,     4.00629E-27,     3.97118E-27,     2.31082E-27
    9.91870E-01,     3.98198E-27,     3.94537E-27,     3.07815E-27
    9.91880E-01,     3.95779E-27,     3.92041E-27,     1.87452E-27
    9.91890E-01,     3.93371E-27,     3.89849E-27,     1.87596E-27
    9.91900E-01,     3.90976E-27,     3.87203E-27,     1.02832E-27
    9.91910E-01,     3.88592E-27,     3.85049E-27,     2.04285E-27
    9.91920E-01,     3.86220E-27,     3.82547E-27,     1.53812E-27
    9.91930E-01,     3.83860E-27,     3.80131E-27,     2.36659E-27
    9.91940E-01,     3.81512E-27,     3.77963E-27,     1.37035E-27
    9.91950E-01,     3.79175E-27,     3.75448E-27,     5.16236E-29
    9.91960E-01,     3.76850E-27,     3.73299E-27,     2.49216E-28
    9.91970E-01,     3.74536E-27,     3.70858E-27,     3.16218E-27
    9.91980E-01,     3.72234E-27,     3.68501E-27,     2.21488E-27
    9.91990E-01,     3.69943E-27,     3.66392E-27,     2.47715E-27
    9.92000E-01,     3.67664E-27,     3.63915E-27,     1.99750E-27
    9.92010E-01,     3.65396E-27,     3.61772E-27,     2.37025E-27
    9.92020E-01,     3.63139E-27,     3.59437E-27,     3.00582E-27
    9.92030E-01,     3.60894E-27,     3.57184E-27,     6.26375E-28
    9.92040E-01,     3.58660E-27,     3.55035E-27,     2.39581E-27
    9.92050E-01,     3.56437E-27,     3.52747E-27,     1.55932E-27
    9.92060E-01,     3.54225E-27,     3.50531E-27,     3.10871E-27
    9.92070E-01,     3.52025E-27,     3.48373E-27,     2.84679E-27
    9.92080E-01,     3.49835E-27,     3.46252E-27,     2.32192E-27
    9.92090E-01,     3.47656E-27,     3.43888E-27,     5.59098E-28
    9.92100E-01,     3.45489E-27,     3.41870E-27,     1.16639E-27
    9.92110E-01,     3.43332E-27,     3.39769E-27,     1.44756E-27
    9.92120E-01,     3.41187E-27,     3.37612E-27,     9.48096E-28
    9.92130E-01,     3.39052E-27,     3.35391E-27,     2.14461E-27
    9.92140E-01,     3.36928E-27,     3.33223E-27,     9.17086E-28
    9.92150E-01,     3.34815E-27,     3.31185E-27,     3.02678E-27
    9.92160E-01,     3.32712E-27,     3.29093E-27,     1.36996E-27
    9.92170E-01,     3.30620E-27,     3.27063E-27,     3.00849E-27
    9.92180E-01,     3.28539E-27,     3.24963E-27,     2.37463E-27
    9.92190E-01,     3.26469E-27,     3.22863E-27,     1.41390E-27
    9.92200E-01,     3.24409E-27,     3.20823E-27,     1.53599E-27
    9.92210E-01,     3.22359E-27,     3.18732E-27,     4.65975E-28
    9.92220E-01,     3.20320E-27,     3.16691E-27,     5.61007E-29
    9.92230E-01,     3.18292E-27,     3.14694E-27,     1.06156E-27
    9.92240E-01,     3.16274E-27,     3.12653E-27,     1.19064E-27
    9.92250E-01,     3.14266E-27,     3.10654E-27,     6.17150E-28
    9.92260E-01,     3.12269E-27,     3.08723E-27,     7.49568E-28
    9.92270E-01,     3.10282E-27,     3.06706E-27,     1.46176E-28
    9.92280E-01,     3.08305E-27,     3.04575E-27,     4.85914E-28
    9.92290E-01,     3.06339E-27,     3.02632E-27,     3.74702E-28
    9.92300E-01,     3.04382E-27,     3.00597E-27,     1.22655E-27
    9.92310E-01,     3.02436E-27,     2.98877E-27,     2.19996E-28
    9.92320E-01,     3.00500E-27,     2.96878E-27,     5.89630E-28
    9.92330E-01,     2.98574E-27,     2.95019E-27,     1.31376E-27
    9.92340E-01,     2.96658E-27,     2.92981E-27,     1.58066E-27
    9.92350E-01,     2.94752E-27,     2.91040E-27,     1.11664E-27
    9.92360E-01,     2.92856E-27,     2.89222E-27,     3.27316E-28
    9.92370E-01,     2.90969E-27,     2.87426E-27,     8.78822E-28
    9.92380E-01,     2.89093E-27,     2.85340E-27,     1.83310E-28
    9.92390E-01,     2.87227E-27,     2.83642E-27,     1.59390E-28
    9.92400E-01,     2.85370E-27,     2.81766E-27,     1.92137E-28
    9.92410E-01,     2.83523E-27,     2.79749E-27,     4.67094E-28
    9.92420E-01,     2.81685E-27,     2.78105E-27,     1.19681E-27
    9.92430E-01,     2.79858E-27,     2.76256E-27,     1.19816E-27
    9.92440E-01,     2.78040E-27,     2.74317E-27,     1.38599E-27
    9.92450E-01,     2.76231E-27,     2.72697E-27,     1.10802E-27
    9.92460E-01,     2.74433E-27,     2.70664E-27,     5.70612E-28
    9.92470E-01,     2.72643E-27,     2.69102E-27,     9.62112E-28
    9.92480E-01,     2.70863E-27,     2.67175E-27,     9.70388E-28
    9.92490E-01,     2.69093E-27,     2.65447E-27,     1.25964E-27
    9.92500E-01,     2.67332E-27,     2.63725E-27,     4.65803E-29
    9.92510E-01,     2.65580E-27,     2.61941E-27,     9.99080E-28
    9.92520E-01,     2.63838E-27,     2.60114E-27,     1.03721E-27
    9.92530E-01,     2.62105E-27,     2.58479E-27,     5.54484E-28
    9.92540E-01,     2.60381E-27,     2.56642E-27,     5.22979E-28
    9.92550E-01,     2.58667E-27,     2.54990E-27,     7.70745E-29
    9.92560E-01,     2.56961E-27,     2.53362E-27,     9.98418E-28
    9.92570E-01,     2.55265E-27,     2.51565E-27,     2.45164E-28
    9.92580E-01,     2.53578E-27,     2.50078E-27,     1.26517E-27
    9.92590E-01,     2.51900E-27,     2.48206E-27,     7.95987E-28
    9.92600E-01,     2.50231E-27,     2.46494E-27,     7.23847E-28
    9.92610E-01,     2.48571E-27,     2.44887E-27,     5.70440E-28
    9.92620E-01,     2.46920E-27,     2.43306E-27,     3.84344E-28
    9.92630E-01,     2.45278E-27,     2.41677E-27,     1.48530E-27
    9.92640E-01,     2.43645E-27,     2.40000E-27,     3.56090E-28
    9.92650E-01,     2.42020E-27,     2.38271E-27,     3.86855E-28
    9.92660E-01,     2.40405E-27,     2.36853E-27,     1.58722E-27
    9.92670E-01,     2.38798E-27,     2.35146E-27,     1.16467E-27
    9.92680E-01,     2.37200E-27,     2.33605E-27,     3.33797E-28
    9.92690E-01,     2.35611E-27,     2.32017E-27,     3.97166E-28
    9.92700E-01,     2.34030E-27,     2.30320E-27,     8.53556E-28
    9.92710E-01,     2.32458E-27,     2.28821E-27,     2.38873E-28
    9.92720E-01,     2.30895E-27,     2.27126E-27,     6.40577E-28
    9.92730E-01,     2.29340E-27,     2.25633E-27,     6.17544E-28
    9.92740E-01,     2.27793E-27,     2.24086E-27,     1.60811E-27
    9.92750E-01,     2.26256E-27,     2.22459E-27,     1.56812E-27
    9.92760E-01,     2.24726E-27,     2.21071E-27,     3.74282E-28
    9.92770E-01,     2.23205E-27,     2.19486E-27,     7.57061E-28
    9.92780E-01,     2.21693E-27,     2.17949E-27,     1.48855E-28
    9.92790E-01,     2.20189E-27,     2.16484E-27,     1.21838E-27
    9.92800E-01,     2.18693E-27,     2.14990E-27,     1.20293E-28
    9.92810E-01,     2.17205E-27,     2.13405E-27,     1.53487E-27
    9.92820E-01,     2.15726E-27,     2.12230E-27,     5.25429E-28
    9.92830E-01,     2.14255E-27,     2.10582E-27,     1.96959E-28
