x, a priori error bound, running error bound, forward error
    9.91480E-01,     6.75045E-27,     5.01472E-27,     1.99815E-27
    9.91490E-01,     6.72129E-27,     5.00097E-27,     1.19076E-27
    9.91500E-01,     6.69226E-27,     4.95526E-27,     1.50467E-27
    9.91510E-01,     6.66338E-27,     4.93485E-27,     2.11519E-27
    9.91520E-01,     6.63462E-27,     4.90227E-27,     1.75552E-27
    9.91530E-01,     6.60601E-27,     4.87250E-27,     2.82767E-27
    9.91540E-01,     6.57753E-27,     4.85140E-27,     1.99160E-27
    9.91550E-01,     6.54918E-27,     4.83560E-27,     1.02628E-27
    9.91560E-01,     6.52097E-27,     4.81304E-27,     6.19982E-28
    9.91570E-01,     6.49289E-27,     4.77367E-27,     2.35265E-27
    9.91580E-01,     6.46494E-27,     4.75518E-27,     1.15115E-27
    9.91590E-01,     6.43713E-27,     4.71997E-27,     3.12068E-27
    9.91600E-01,     6.40945E-27,     4.68684E-27,     2.03843E-27
    9.91610E-01,     6.38190E-27,     4.64317E-27,     2.91540E-27
    9.91620E-01,     6.35448E-27,     4.64029E-27,     1.88049E-27
    9.91630E-01,     6.32719E-27,     4.60499E-27,     2.16117E-27
    9.91640E-01,     6.30004E-27,     4.57443E-27,     3.65669E-28
    9.91650E-01,     6.27301E-27,     4.55599E-27,     2.79631E-27
    9.91660E-01,     6.24611E-27,     4.51131E-27,     7.12167E-28
    9.91670E-01,     6.21934E-27,     4.49897E-27,     3.21180E-27
    9.91680E-01,     6.19270E-27,     4.45585E-27,     3.04703E-27
    9.91690E-01,     6.16618E-27,     4.43554E-27,     5.46359E-28
    9.91700E-01,     6.13980E-27,     4.40816E-27,     1.38306E-27
    9.91710E-01,     6.11354E-27,     4.38808E-27,     1.45224E-27
    9.91720E-01,     6.08741E-27,     4.36809E-27,     1.46467E-27
    9.91730E-01,     6.06140E-27,     4.33889E-27,     2.88070E-28
    9.91740E-01,     6.03552E-27,     4.32797E-27,     2.55403E-27
    9.91750E-01,     6.00976E-27,     4.29145E-27,     2.16957E-27
    9.91760E-01,     5.98413E-27,     4.25241E-27,     1.75398E-27
    9.91770E-01,     5.95862E-27,     4.23389E-27,     2.09395E-27
    9.91780E-01,     5.93324E-27,     4.20693E-27,     1.54580E-27
    9.91790E-01,     5.90798E-27,     4.17493E-27,     2.22215E-27
    9.91800E-01,     5.88284E-27,     4.14213E-27,     1.96657E-27
    9.91810E-01,     5.85783E-27,     4.14475E-27,     1.78723E-27
    9.91820E-01,     5.83294E-27,     4.10305E-27,     1.08772E-27
    9.91830E-01,     5.80817E-27,     4.08385E-27,     2.91418E-27
    9.91840E-01,     5.78352E-27,     4.06588E-27,     2.84300E-27
    9.91850E-01,     5.75899E-27,     4.03173E-27,     1.13391E-27
    9.91860E-01,     5.73458E-27,     4.00729E-27,     2.31082E-27
    9.91870E-01,     5.71029E-27,     3.98057E-27,     3.07815E-27
    9.91880E-01,     5.68612E-27,     3.98279E-27,     1.87452E-27
    9.91890E-01,     5.66207E-27,     3.93625E-27,     1.87596E-27
    9.91900E-01,     5.63813E-27,     3.92471E-27,     1.02832E-27
    9.91910E-01,     5.61432E-27,     3.89447E-27,     2.04285E-27
    9.91920E-01,     5.59062E-27,     3.87645E-27,     1.53812E-27
    9.91930E-01,     5.56704E-27,     3.84356E-27,     2.36659E-27
    9.91940E-01,     5.54358E-27,     3.82761E-27,     1.37035E-27
    9.91950E-01,     5.52023E-27,     3.80782E-27,     5.16236E-29
    9.91960E-01,     5.49700E-27,     3.75886E-27,     2.49216E-28
    9.91970E-01,     5.47388E-27,     3.75267E-27,     3.16218E-27
    9.91980E-01,     5.45088E-27,     3.71871E-27,     2.21488E-27
    9.91990E-01,     5.42800E-27,     3.71069E-27,     2.47715E-27
    9.92000E-01,     5.40522E-27,     3.67912E-27,     1.99750E-27
    9.92010E-01,     5.38257E-27,     3.66003E-27,     2.37025E-27
    9.92020E-01,     5.36002E-27,     3.62291E-27,     3.00582E-27
    9.92030E-01,     5.33759E-27,     3.61211E-27,     6.26375E-28
    9.92040E-01,     5.31527E-27,     3.59840E-27,     2.39581E-27
    9.92050E-01,     5.29306E-27,     3.56828E-27,     1.55932E-27
    9.92060E-01,     5.27096E-27,     3.54030E-27,     3.10871E-27
    9.92070E-01,     5.24898E-27,     3.53238E-27,     2.84679E-27
    9.92080E-01,     5.22710E-27,     3.51019E-27,     2.32192E-27
    9.92090E-01,     5.20534E-27,     3.48671E-27,     5.59098E-28
    9.92100E-01,     5.18368E-27,     3.46013E-27,     1.16639E-27
    9.92110E-01,     5.16214E-27,     3.42898E-27,     1.44756E-27
    9.92120E-01,     5.14070E-27,     3.40607E-27,     9.48096E-28
    9.92130E-01,     5.11938E-27,     3.40577E-27,     2.14461E-27
    9.92140E-01,     5.09816E-27,     3.36709E-27,     9.17086E-28
    9.92150E-01,     5.07705E-27,     3.35417E-27,     3.02678E-27
    9.92160E-01,     5.05604E-27,     3.32624E-27,     1.36996E-27
    9.92170E-01,     5.03515E-27,     3.31126E-27,     3.00849E-27
    9.92180E-01,     5.01436E-27,     3.28724E-27,     2.37463E-27
    9.92190E-01,     4.99367E-27,     3.27003E-27,     1.41390E-27
    9.92200E-01,     4.97309E-27,     3.24710E-27,     1.53599E-27
    9.92210E-01,     4.95262E-27,     3.22773E-27,     4.65975E-28
    9.92220E-01,     4.93225E-27,     3.21258E-27,     5.61007E-29
    9.92230E-01,     4.91199E-27,     3.19241E-27,     1.06156E-27
    9.92240E-01,     4.89183E-27,     3.17267E-27,     1.19064E-27
    9.92250E-01,     4.87178E-27,     3.14256E-27,     6.17150E-28
    9.92260E-01,     4.85182E-27,     3.11827E-27,     7.49568E-28
    9.92270E-01,     4.83197E-27,     3.11353E-27,     1.46176E-28
    9.92280E-01,     4.81223E-27,     3.07832E-27,     4.85914E-28
    9.92290E-01,     4.79258E-27,     3.06346E-27,     3.74702E-28
    9.92300E-01,     4.77304E-27,     3.04407E-27,     1.22655E-27
    9.92310E-01,     4.75360E-27,     3.04165E-27,     2.19996E-28
    9.92320E-01,     4.73426E-27,     2.99608E-27,     5.89630E-28
    9.92330E-01,     4.71502E-27,     2.98832E-27,     1.31376E-27
    9.92340E-01,     4.69588E-27,     2.97129E-27,     1.58066E-27
    9.92350E-01,     4.67684E-27,     2.95574E-27,     1.11664E-27
    9.92360E-01,     4.65790E-27,     2.93836E-27,     3.27316E-28
    9.92370E-01,     4.63906E-27,     2.91686E-27,     8.78822E-28
    9.92380E-01,     4.62032E-27,     2.89369E-27,     1.83310E-28
    9.92390E-01,     4.60167E-27,     2.89480E-27,     1.59390E-28
    9.92400E-01,     4.58313E-27,     2.86921E-27,     1.92137E-28
    9.92410E-01,     4.56468E-27,     2.84248E-27,     4.67094E-28
    9.92420E-01,     4.54633E-27,     2.82865E-27,     1.19681E-27
    9.92430E-01,     4.52807E-27,     2.80028E-27,     1.19816E-27
    9.92440E-01,     4.50991E-27,     2.77024E-27,     1.38599E-27
    9.92450E-01,     4.49185E-27,     2.77451E-27,     1.10802E-27
    9.92460E-01,     4.47388E-27,     2.71650E-27,     5.70612E-28
    9.92470E-01,     4.45601E-27,     2.73710E-27,     9.62112E-28
    9.92480E-01,     4.43823E-27,     2.69458E-27,     9.70388E-28
    9.92490E-01,     4.42055E-27,     2.69182E-27,     1.25964E-27
    9.92500E-01,     4.40296E-27,     2.66339E-27,     4.65803E-29
    9.92510E-01,     4.38546E-27,     2.65281E-27,     9.99080E-28
